question,answer
How are Stream web parts affected on SharePoint pages?,"The ""Stream"" web part will not work with video content located on OneDrive or SharePoint, but you can use the ""File and Media"" web part for single videos, and the Highlighted content web part for sets. For more information, see How to feature videos in Microsoft 365 with pages, sites, & portals , and Using videos on SharePoint pages . Conestoga 299 Doon Valley Drive Kitchener , Ontario N2G 4M4 , Canada Phone : 519-748-5220 Documents are available in an alternate format Useful Links Top Questions Request a change to a website Report an IT issue Change or reset your password Contact Email: ITSDesk@conestogac.on.ca Phone: 519-748-5220, ext. 3444 Toll-free: 1-866-636-4718 Live Chat: Bottom right of the screen For more information, visit IT Service Desk Hours And Locations . Conestoga 299 Doon Valley Drive Kitchener , Ontario N2G 4M4 , Canada Phone : 519-748-5220 Documents are available in an alternate format Useful Links Top Questions Request a change to a website Report an IT issue Change or reset your password Contact Email: ITSDesk@conestogac.on.ca Phone: 519-748-5220, ext. 3444 Toll-free: 1-866-636-4718 Live Chat: Bottom right of the screen For more information, visit IT Service Desk Hours And Locations ."
Conestoga,"299 Doon Valley Drive Kitchener , Ontario N2G 4M4 , Canada Documents are available in an alternate format Useful Links Top Questions Request a change to a website Report an IT issue Change or reset your password"
Useful Links,"Contact Email: ITSDesk@conestogac.on.ca Phone: 519-748-5220, ext. 3444 Toll-free: 1-866-636-4718 Live Chat: Bottom right of the screen For more information, visit IT Service Desk Hours And Locations . Contact Email: ITSDesk@conestogac.on.ca Phone: 519-748-5220, ext. 3444 Toll-free: 1-866-636-4718 Live Chat: Bottom right of the screen For more information, visit IT Service Desk Hours And Locations ."
Frequently asked questions,Menu Welcome My checklist + 1. Complete registration checklist 2. Complete personalized checklist My orientation + Academic School Welcome Orientation Adventure Hub International webinars & events Calendar What's next? Apprenticeship orientation Conestoga services Questions + Frequently asked questions Directions and parking Menu Welcome My checklist + 1. Complete registration checklist 2. Complete personalized checklist My orientation + Academic School Welcome Orientation Adventure Hub International webinars & events Calendar What's next? Apprenticeship orientation Conestoga services Questions + Frequently asked questions Directions and parking Menu Welcome My checklist + 1. Complete registration checklist 2. Complete personalized checklist My orientation + Academic School Welcome Orientation Adventure Hub International webinars & events Calendar What's next? Apprenticeship orientation Conestoga services Questions + Frequently asked questions Directions and parking
Kitchener – Doon and Waterloo room example,2 - The first digit is the floor number. E - The letter is the floor wing. 05 - The last two digits are the room number.
Guelph room example,D - The letter is the floor wing. 18 - The last two digits are the room number.
Cambridge – Fountain Street room example,A - The letter is the building. 1 - The first number is the floor level. 326 - The last three digits are the room number.
Brantford room example,"If there is a 0 in front of the number that means the room is on the lower level If the code starts with a 1, the room is on floor one. If the code starts with a 2, the room is on floor two and so on. Check back regularly for any updates to your online Academic School Welcome session and other workshop and event date/times."
International,Menu Home Apply to Conestoga + Choose Conestoga Application information Admission requirements PGWP-aligned programs Academic documents Fees & payment Awards & scholarships Complete your registration Student support + Housing resources Cost of living Travel to Canada Webinars Getting started Health insurance & medical care Scam prevention Transportation Immigration information + IRCC-related information Work eligibility Book an appointment Agents Contact Menu Home Apply to Conestoga + Choose Conestoga Application information Admission requirements PGWP-aligned programs Academic documents Fees & payment Awards & scholarships Complete your registration Student support + Housing resources Cost of living Travel to Canada Webinars Getting started Health insurance & medical care Scam prevention Transportation Immigration information + IRCC-related information Work eligibility Book an appointment Agents Contact Menu Home Apply to Conestoga + Choose Conestoga Application information Admission requirements PGWP-aligned programs Academic documents Fees & payment Awards & scholarships Complete your registration Student support + Housing resources Cost of living Travel to Canada Webinars Getting started Health insurance & medical care Scam prevention Transportation Immigration information + IRCC-related information Work eligibility Book an appointment Agents Contact
Study in Canada,"Conestoga is a leader in polytechnic education, delivering a full range of career-focused education, training and applied research programs to prepare students for success. Conestoga is consistently ranked among the very best of Ontario's colleges for graduate employment as well as student, graduate and employer satisfaction. Conestoga offers more than 300 certificate, diploma, degree and post-graduate programs, many with co-op options for international students."
Study at Conestoga,"Find application information, admission and document requirements and more Get the support you need We’re here to help you transition to college Student Support Get the support you need We’re here to help you transition to college Student Support"
Get the support you need,We’re here to help you transition to college Permits & visas Learn about IRCC-related information and updates Immigration Information Permits & visas Learn about IRCC-related information and updates Immigration Information
Permits & visas,"Learn about IRCC-related information and updates 32,000 Registered students across eight cities 300+ Full-time programs 85+ Co-op programs 87% Graduates employed within six months of program completion 32,000 Registered students across eight cities 300+ Full-time programs 85+ Co-op programs 87% Graduates employed within six months of program completion"
Top Questions,Quick answers to the most asked questions. Students I need to change my password. How do I forget the network? What is my Condor ID and password? How do I unlock my account? Where can I download software? How do I connect to the Wi-Fi? How do I check my email? Faculty / Staff I need to change my password. How do I forget the network? How to setup automatic replies on OWA How to change your setting for Compatibility mode for Internet Explorer What is my Condor ID and password? How do I unlock my account? Where can I download software? How do I connect to the Wi-Fi? How do I get training for my classroom tech? How do I check my email? Students I need to change my password. How do I forget the network? What is my Condor ID and password? How do I unlock my account? Where can I download software? How do I connect to the Wi-Fi? How do I check my email? Faculty / Staff I need to change my password. How do I forget the network? How to setup automatic replies on OWA How to change your setting for Compatibility mode for Internet Explorer What is my Condor ID and password? How do I unlock my account? Where can I download software? How do I connect to the Wi-Fi? How do I get training for my classroom tech? How do I check my email?
Faculty / Staff,I need to change my password. How do I forget the network? How to setup automatic replies on OWA How to change your setting for Compatibility mode for Internet Explorer What is my Condor ID and password? How do I unlock my account? Where can I download software? How do I connect to the Wi-Fi? How do I get training for my classroom tech? How do I check my email? I need to change my password. How do I forget the network? How to setup automatic replies on OWA
Can't find what you're looking for?,"Check out our Support section or email the IT Service Desk . Conestoga 299 Doon Valley Drive Kitchener , Ontario N2G 4M4 , Canada Phone : 519-748-5220 Documents are available in an alternate format Useful Links Top Questions Request a change to a website Report an IT issue Change or reset your password Contact Email: ITSDesk@conestogac.on.ca Phone: 519-748-5220, ext. 3444 Toll-free: 1-866-636-4718 Live Chat: Bottom right of the screen For more information, visit IT Service Desk Hours And Locations . Conestoga 299 Doon Valley Drive Kitchener , Ontario N2G 4M4 , Canada Phone : 519-748-5220 Documents are available in an alternate format Useful Links Top Questions Request a change to a website Report an IT issue Change or reset your password Contact Email: ITSDesk@conestogac.on.ca Phone: 519-748-5220, ext. 3444 Toll-free: 1-866-636-4718 Live Chat: Bottom right of the screen For more information, visit IT Service Desk Hours And Locations ."
Student Financial Services,Menu Home OSAP & aid Awards + Student bursaries Award recipients External awards & resources Work study Contact Menu Home OSAP & aid Awards + Student bursaries Award recipients External awards & resources Work study Contact Menu Home OSAP & aid Awards + Student bursaries Award recipients External awards & resources Work study Contact
Helping you pay for college,"College can be expensive, but we're here to help you plan for your future. College can be expensive, but we're here to help you plan for your future. College can be expensive, but we're here to help you plan for your future."
OSAP & aid,"Discover financial aid available including OSAP and out-of-province aid. Awards, scholarships & bursaries Search and apply to over 400 awards, bursaries and scholarships. Search our awards directory Awards, scholarships & bursaries Search and apply to over 400 awards, bursaries and scholarships. Search our awards directory"
"Awards, scholarships & bursaries","Search and apply to over 400 awards, bursaries and scholarships. Work study The work study program provides on-campus employment to current students. Learn about work study Work study The work study program provides on-campus employment to current students. Learn about work study"
Work study,"The work study program provides on-campus employment to current students. Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking & transportation Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking & transportation Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices"
Tuition & fees,Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact
General information,"The Board of Governors annually approves a Fee Schedule for tuition, compulsory and optional ancillary fees, and other incidental fees for the college. Tuition covers only part of the costs associated with post-secondary education. The tuition fee and other specific fees can be claimed as a deduction for income tax purposes, subject to tax regulations."
Tuition for full-time session programs,"Tuition is normally calculated and billed on a two-session basis if both sessions fall within the same academic year. In programs scheduled for more than two sessions, the length of the program determines the amount of tuition. To view fees for a specific program, locate the program page and review information found under the Tuition & Fees heading."
Tuition for full-time non-session certificate and vocational preparation programs,"Students in these programs are expected to complete the program in less than one year. Program length is indicated in weeks. Fees are not reduced for statutory holidays, but no fees are charged for the December holiday break."
Tuition for part-time courses,Tuition for part-time courses is calculated on a rate per hour. Some compulsory fees may apply.
International student fees,"If an international student acquires Canadian citizenship, permanent residence status, or meets the Ministry of Training, Colleges and Universities criteria for exemption for international tuition fees during the session, the student must provide the documentation and submit it in writing to studentfees@conestogac.on.ca prior to the start of the next session. Fees will not be reduced due to a change in status for the current session. The fees payable by Canadian citizens, permanent residents or exempt students will apply only to the future sessions in which the student is registered. Fee information Compulsory ancillary fees for full-time programs Administration Fee This fee funds items such as: Student Accident Insurance Plan (providing coverage 24 hours per day, seven days per week within Canada, if the student is enrolled at Conestoga), locker usage. Graduation/Alumni Services Fee This fee contributes to the cost of the documents, invitations, use of gowns and liripipes, other Convocation expenses, and the Alumni Association. ISR (International Student Recovery) This is a fee applied to all international students enrolled in a credential program at an Ontario college or university, as per the Ministry of Colleges and Universities' funding structure. ONE Card Fee This fee is assessed with issuing the student ID card (ONE Card). Student Services Fee This fee contributes to the provision of essential academic, career, and wellness services and supports for students. This includes: access to health professionals for medical services and mental health care."
Fee information,"Compulsory ancillary fees for full-time programs Administration Fee This fee funds items such as: Student Accident Insurance Plan (providing coverage 24 hours per day, seven days per week within Canada, if the student is enrolled at Conestoga), locker usage. Graduation/Alumni Services Fee This fee contributes to the cost of the documents, invitations, use of gowns and liripipes, other Convocation expenses, and the Alumni Association. ISR (International Student Recovery) This is a fee applied to all international students enrolled in a credential program at an Ontario college or university, as per the Ministry of Colleges and Universities' funding structure. ONE Card Fee This fee is assessed with issuing the student ID card (ONE Card). Student Services Fee This fee contributes to the provision of essential academic, career, and wellness services and supports for students. This includes: access to health professionals for medical services and mental health care. a range of career-related services including career counselling, job fairs, job placement services and programs to support career and employment readiness. tutoring, writing and math supports, study and learning skills services, as well as a range of workshops and programming to improve academic success. Technology Enhancement Fee This fee includes up-to-date computer equipment, software and services to provide students with enhanced academic support."
Administration Fee,"This fee funds items such as: Student Accident Insurance Plan (providing coverage 24 hours per day, seven days per week within Canada, if the student is enrolled at Conestoga), locker usage."
Graduation/Alumni Services Fee,"This fee contributes to the cost of the documents, invitations, use of gowns and liripipes, other Convocation expenses, and the Alumni Association."
ISR (International Student Recovery),"This is a fee applied to all international students enrolled in a credential program at an Ontario college or university, as per the Ministry of Colleges and Universities' funding structure."
ONE Card Fee,This fee is assessed with issuing the student ID card (ONE Card).
Student Services Fee,"This fee contributes to the provision of essential academic, career, and wellness services and supports for students. This includes: access to health professionals for medical services and mental health care. a range of career-related services including career counselling, job fairs, job placement services and programs to support career and employment readiness."
Technology Enhancement Fee,"This fee includes up-to-date computer equipment, software and services to provide students with enhanced academic support."
CSI Advocacy Fee,"The CSI Advocacy Fee funds the necessary tools and resources required to encourage and allow students to be engaged in the advocacy process within the college and all levels of government to improve the student experience. The tools and resources include, but are not limited to, membership in advocacy organizations, communication and campaign resources, and tools for collecting membership feedback."
CSI Association Fee,"The CSI Association Fee provides access to all student support services, student programming, and leadership and skill development opportunities that your official student association provides. CSI is a student-owned and student-lead organization that represents and supports all Conestoga students at all campuses. For more information regarding support services, programming and development opportunities available, visit www.conestogastudents.com ."
CSI Extended Health & Dental Plan Fee,"The CSI Extended Health & Dental Plan Fee provides all students with insurance for medical services including: prescription medication, health practitioners, vision care, and dental care. This fee also provides students with access to virtual healthcare through Dialogue and travel coverage and insurance. For more information, visit Health & Dental ."
CSI College International Health Insurance Plan (CIHIP) Fee,"This fee provides comprehensive insurance for basic emergency healthcare services while studying in Ontario. The CIHIP provides coverage for: access to health professionals for medical services and mental health care. a range of career-related services including career counselling, job fairs, job placement services and programs to support career and employment readiness."
CSI College International Health Insurance Plan (CIHIP) Fee,This fee provides comprehensive insurance for basic emergency healthcare services while studying in Ontario. The CIHIP provides coverage for: hospitalization and related services annual medical examination if covered for 6 consecutive months or more
CSI Legal Care Fee,"The CSI Legal Care Fee ensures students have the tools and financial means to defend their legal rights, provides access to legal information via a toll-free legal assistance helpline, and covers the costs of further counsel should they qualify for legal representation. Legal representation includes housing rights and tenant disputes, employment rights, and academic rights. This fee covers: legal information and assistance legal expenses, such as court fees and attendance, and witness expenses"
CSI U-Pass Fee,"The CSI U-Pass Fee provides students with unlimited trips on the local transit system using your ONE Card, at an affordable price. The U-Pass provides affordable transportation not only to school, but for other trips such as shopping, employment, entertainment, and to connect to out-of-town bus or train stations."
Bus Pass (Brantford only),This fee is assessed to all students enrolled in full-time post-secondary and certificate programs at Brantford campus for unlimited travel on Brantford Transit .
Capital Development Fee,This fee contributes to capital enhancements that improve the student experience. It is approved by a referendum that is administered through a formal agreement with CSI.
Recreation/Athletic,"All full-time, fee-paying students at the Cambridge - Fountain Street, Kitchener - Doon, and Brantford* campuses must pay this fee which assists in offsetting the costs of the intercollegiate and intramural athletic programs, and provides access to the Recreation Centre for the academic year. Students enrolled at the Cambridge - Fountain Street and Kitchener - Doon campuses may access the Doon Recreation Centre. *Students enrolled at the Brantford campus may access the Laurier Brantford YMCA (they do not have access to the Doon Recreation Centre). The Recreation/Athletic fee Brantford students pay is transferred to Laurier to compensate for services offered to Conestoga students."
eText Fee,"Some programs include eText fees to cover the cost of mandatory resources essential to successfully complete the course or program. eText fees listed on program pages reflect the current academic term prices and are subject to change. Confirmed costs will appear on your registration invoice. For the most up-to-date eText pricing, please refer to your personalized booklist."
Program Services Fee (co-op programs),"All students in co-op programs, including mandatory, optional and alternative, such as guided career management, pay a non-refundable fee to offset costs involved with the wide variety of services and supports that are provided. The Program Services Fee is billed in equal payments over the number of academic terms in which a student is registered in the program. Students in programs that have both direct entry and optional co-op opportunities will be billed the Program Services Fee."
Program-specific fees,"Some programs levy this fee for specific purposes such as special supplies, uniforms, etc. Program-specific fees listed on program pages reflect the current academic term price and are subject to change. Confirmed costs for supply fees will be reflected on your invoice at time of registration."
Work-Integrated Learning (WIL) Documentation Fee (confirmed via email),"This mandatory fee covers the cost of tracking health-related and other required student documentation prior to student WIL experiences. Depending on your programâ€™s requirements, this may include immunization records, TB testing, police record checks, workplace health & safety course completion, first aid/CPR, respiratory fit testing, consent form completion, etc. Tuition: Domestic student: $6.24 per course hour ($25 per course is non-refundable) International student: $22.92 per course hour ($25 per course is non-refundable) International student grad certificate: $24.89 per course hour ($25 per course is non-refundable) International student degree/ACR: $25.32 per course hour ($25 per course is non-refundable) Domestic student: $6.24 per course hour ($25 per course is non-refundable)"
CSI Student Club & Society Fee,"The CSI Student Club & Society Fee provides access to participate in any of the CSI clubs, councils and societies established on campus. If there aren't any that peak an interest or represent your community, students will receive training, tools and funds to establish and start their own. The fee funds spaces, events and resources to ensure all student-run clubs, councils and societies are supported for success."
CSI Student Welcome Kit Fee,"The CSI Welcome Kit contains everything a new Condor needs to enhance their student experience. Each kit contains multiple CSI and Condor-branded apparel, trending accessories, and may include exclusive offers and discounts. Please note that your Welcome Kit must be picked up in the term of purchase. No refunds will be applied."
CSI Student Events Fee,"The CSI Student Events Fee provides access to intentionally diverse programming and events that promote recreation, provide skill development, and create student connection that fosters a wholesome student experience. Fee-paying members may have access to free or discounted events, early event or ticket access, prizes, giveaways, and other opportunities such as exclusive interactions with talent or vendors."
Sustainability Fee,"This fee assists the college in completing projects that increase our energy efficiency, reduce our carbon footprint, and help to meet our overall sustainability goals. Description Amount â€‹Advanced Standing Application â€‹$35.00 â€‹Application to graduate/Alumni fee â€‹$48.00 Audit tuition fee $6.24 per course hour Completion of forms/Verification letters fee $23.00 (includes HST) Continuing Education graduation/Alumni Services fee $48.00 Duplicate document of recognition (degree, diploma, certificate) $40.00 â€‹Duplicate Statement of Participation/Affirmation â€‹$25.00 â€‹International Application fee â€‹$89.39 Late fee $150.00 Legal request fee $75.00 Letter of Permission $30.00 NSF - Returned Payment Charge $35.00 Parking fees See Parking & transportation for rates â€‹Payment schedule fee â€‹$200.00 Prior Learning Assessment fee Maximum of $135.57 â€‹Program Application fee $35.00 Replacement ONE Card Photo ID card $25.00 Supplemental fee $45.00 Tax receipt (T2202A) duplicate $30.00 Testing fee for applicants $35.00 / 1 test $45.00 / 2 tests $55.00 / 3 tests Rewrite $35.00 Transcript fee $12.00 (HST included) â€‹Visa Refusal fee $200.00 WIL documentation fee Fee range $42 - $112 (see Student Fee Invoice) Withdrawal fee - transfer to another institution $500.00 - domestic student $2,500.00 - international student"
Audit Tuition Fee,An Audit Tuition Fee will be charged to students auditing a course (course hourly rates apply).
Completion of Forms/Verification Letters Fee,"This fee is charged when a letter is requested from the Registrar's Office, or a form must be completed, verifying current or past enrolment. A Request for Letter Form is available for this purpose."
Continuing Education Graduation/Alumni Services Fee,"This per term fee provides for all services related to graduation, convocation and the Alumni Association."
Duplicate Documents of Recognition,"If a duplicate copy of a Document of Recognition is required, the request must be made in writing to the Registrar's Office. A General Request Form is available for this purpose. Documents that can be requested are: certificates, Ontario Graduate Certificates, Ontario college diplomas, Ontario college advanced diplomas, degrees, affirmations and statements of participation."
WIL Documentation Fee,This mandatory fee covers costs of tracking health-related student documentation required prior to student practicums.
Legal Request Fees,Request by a legal authority for student file and/or record information.
Letter of Permission,"A Letter of Permission allows a student to take courses at another recognized post-secondary institution that may be considered for credit towards their program, subject to faculty/program approval and regulations."
Parking Fees and Regulations,"A system of paid parking is in place at Cambridge, Kitchener - Doon, Guelph and Waterloo (including University Gates). For information on regulations, rates and refunds, visit Parking & transportation ."
Prior Learning Assessment Fee,"The fee associated with assessment of prior learning (PLAR) varies each academic year. Contact the Registrar's Office for the exact amount and a PLAR registration form. A $150 late fee will be applied to payments received after the stated due date as posted on the Student Portal. Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking Services Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices"
Fees & payment,Menu Home Apply to Conestoga + Choose Conestoga Application information Admission requirements PGWP-aligned programs Academic documents Fees & payment Awards & scholarships Complete your registration Student support + Housing resources Cost of living Travel to Canada Webinars Getting started Health insurance & medical care Scam prevention Transportation Immigration information + IRCC-related information Work eligibility Book an appointment Agents Contact Menu Home Apply to Conestoga + Choose Conestoga Application information Admission requirements PGWP-aligned programs Academic documents Fees & payment Awards & scholarships Complete your registration Student support + Housing resources Cost of living Travel to Canada Webinars Getting started Health insurance & medical care Scam prevention Transportation Immigration information + IRCC-related information Work eligibility Book an appointment Agents Contact Menu Home Apply to Conestoga + Choose Conestoga Application information Admission requirements PGWP-aligned programs Academic documents Fees & payment Awards & scholarships Complete your registration Student support + Housing resources Cost of living Travel to Canada Webinars Getting started Health insurance & medical care Scam prevention Transportation Immigration information + IRCC-related information Work eligibility Book an appointment Agents Contact
Paying for college,"Review important dates associated with paying tuition and other college fees as well as refund and withdrawal information. Awards & scholarships Refunds & withdrawals Tuition fee schedule 2023 - 2024 academic year tuition fee schedule Program Length Tuition fee estimate*â€‹ English Language Studies (ELS) 4 months â€‹$5,500 â€‹ â€‹2 months â€‹$2,750 Diploma/Certificate programs (excluding Practical Nursing diploma program) 2 terms â€‹$14,163 â€‹Graduate (post-graduate) 2 terms â€‹$15,383 Degree programs (and Practical Nursing diploma program) 2 terms â€‹$15,496 Please note: *The pricing above is for tuition only and does not include compulsory ancillary fees, which are pending approval. Total fees include tuition plus ancillary fees. Please refer to the program page for current fees to estimate the ancillary fees until this information is approved. Compulsory ancillary fees may include: health insurance and prescription drug plan, student activities, graduation fee, athletic services, e-text, etc. All estimated values are listed in Canadian dollars and are subject to change without notice. 2024 - 2025 academic year tuition fee schedule Program Length Tuition fee estimate*â€‹ English Language Studies (ELS) 4 months â€‹$5,500 â€‹ â€‹2 months â€‹$2,750 Diploma/Certificate programs (excluding Practical Nursing diploma program) 2 terms â€‹$14,588 â€‹Graduate (post-graduate) 2 terms â€‹$15,844 Degree programs (and Practical Nursing diploma program) 2 terms â€‹$15,961 Please note: *The pricing above is for tuition only and does not include compulsory ancillary fees, which are pending approval. Total fees include tuition plus ancillary fees."
Tuition fee schedule,"2023 - 2024 academic year tuition fee schedule Program Length Tuition fee estimate*â€‹ English Language Studies (ELS) 4 months â€‹$5,500 â€‹ â€‹2 months â€‹$2,750 Diploma/Certificate programs (excluding Practical Nursing diploma program) 2 terms â€‹$14,163 â€‹Graduate (post-graduate) 2 terms â€‹$15,383 Degree programs (and Practical Nursing diploma program) 2 terms â€‹$15,496 Please note: *The pricing above is for tuition only and does not include compulsory ancillary fees, which are pending approval. Total fees include tuition plus ancillary fees. Please refer to the program page for current fees to estimate the ancillary fees until this information is approved. Compulsory ancillary fees may include: health insurance and prescription drug plan, student activities, graduation fee, athletic services, e-text, etc. All estimated values are listed in Canadian dollars and are subject to change without notice. 2024 - 2025 academic year tuition fee schedule Program Length Tuition fee estimate*â€‹ English Language Studies (ELS) 4 months â€‹$5,500 â€‹ â€‹2 months â€‹$2,750 Diploma/Certificate programs (excluding Practical Nursing diploma program) 2 terms â€‹$14,588 â€‹Graduate (post-graduate) 2 terms â€‹$15,844 Degree programs (and Practical Nursing diploma program) 2 terms â€‹$15,961 Please note: *The pricing above is for tuition only and does not include compulsory ancillary fees, which are pending approval. Total fees include tuition plus ancillary fees. Please refer to the program page for current fees to estimate the ancillary fees until this information is approved. Compulsory ancillary fees may include: health insurance and prescription drug plan, student activities, graduation fee, athletic services, e-text, etc."
Payment and key dates,Please refer to your Letter of Acceptance for your payment key dates.
Key due date for payments â€“ when you should pay,Program of study - Start date â€‹Deposit due date - International students Fall term 30 days from date of acceptance 1 Winter term 30 days from date of acceptance 1 Spring term 30 days from date of acceptance 1 1 as indicated in the offer letter Please note: Key dates are for reference and subject to change without notice. Please refer to the dates provided in your Letter of Acceptance for more accurate information. ** A $150 charge will be applied to payments received after due date as posted on the Student Portal.
International fee exemption,"An international fee exemption permits an international student to pay domestic tuition fees, if eligible. Proof may be required every term to maintain an international fee exemption. Who is exempt from international fees? An international student who meets one of the following requirements may be eligible for an exemption: Canadian Citizen/Indigenous Person's and dependant(s) Permanent Resident and dependant(s) A person who has been approved ""in-principle"" for permanent resident status in Canada and their dependant(s) A foreign worker with a closed work permit and dependant(s) (there are some exclusions) A visitor with diplomatic status and dependant(s) Convention Refugee (Protected Person) and dependant(s) Please review the definitions below for more details regarding these categories. What is the deadline to apply for an international fee exemption? Fall (September - December) / Winter (January - April) / Summer (May - August) On or before the 10 th day of classes for the study period or term. Note: A tuition adjustment will take place in the study period that an international fee exemption has been approved. Retroactive fee changes for previous study periods will not be granted. Exceptions to deadlines are not permitted. Who is exempt from international fees?"
